phone,name,address,website,services
12162426464,Pizza Whirl,1822 W 25th St Cleveland OH 44113 United States,yes,['pizza']
16142688181,Ohio State Pizza & Deli,325 E Hudson St Columbus OH 43202 United States,yes,['pizza']
16148132219,OH Pizza & Wings,18 Dillmont Dr Columbus OH 43235 United States,yes,['pizza']
13306776767,Pizza Hut,4118 OH-43 Kent OH 44240 United States,yes,['pizza']
16149449550,Halal pizza cafe,3931 Cleveland Ave Columbus OH 43224 United States,yes,['pizza']
15137250111,Pizza Hut,440 Ohio Pike Cincinnati OH 45255 United States,yes,['pizza']
17403639990,Mohio Pizza Co.,23 N Sandusky St Delaware OH 43015 United States,yes,['pizza']
13304822623,Pizza Hut,300 OH-14 Columbiana OH 44408 United States,yes,['pizza']
16149968006,OH Pizza & Wings,1050 Hilliard Rome Rd Columbus OH 43228 United States,yes,['pizza']
14196592628,The Pizzeria,112 N High St Columbus Grove OH 45830 United States,no,['pizza']
14407744444,Pizza Hut,14920 OH-58 Oberlin OH 44074 United States,yes,['pizza']
